Answer	Question
i found out that she gave it to her new boyfriend.	that was very nice of you.
our kids are completely safe.	we never have to call the police about anything.
I do,but I really can't.	But don't you really want to check out this book?
well, that's cool.	a lot, like the party i'm having on friday.
Okay,here is $2. 	It will be $2.
 I have not yet been programmed to express anger toward people.	 How angry
i would never want to be president.	you and everybody else.
it's the funniest movie that i've ever seen.	oh, why is that?
because i was watching you.	maybe i know, but how could you know?
maybe you can, if someone moves out.	i wish i could move here.
i know. i had to chase you for a while.	i didn't love you at first.
you like to see it disappear.	i like my food hot and fresh.
That's a good idea.	Let's go jogging.
No, I didn't pay any attention to who they were.	Do you know any of them?
i told her i wouldn't trade her for any other woman in the world.	what did you say?
i vacuumed the entire house.	i'll bet he enjoyed his walk.
 Have I expressed a bug in my ability to emote?	 Does that make you
$1,000.	how much money do you have?
yes, but only the cheap tickets.	can we get tickets?
 Snowboarding.	 IF YOU ARE RIDING FAKIE INSIDE
without the peanut butter!	we'll be eating peanut butter sandwiches?
a band-aid might not work.	it's on the tip of my finger.
why didn't she love you anymore?	yes, it was.
i'm going to give them away. do you want one?	what are you going to do with them?
I'm well.	How are you doing?
I am a bot	what's your name?
yes. i still can't believe our city council allowed this building.	so we've got to sell before property values go down?
i knew you didn't love me.	that's such a hassle.
what's so hard about hitting a little white ball?	golf is so hard.
Thank you. What's today's special?	Certainly, here you are.
i would've come to see you sooner, but i've been busy too.	working.
i'll make an appointment tomorrow.	he'll give you a prescription for glasses.
he stayed on the thirteenth floor.	that was a mistake.
someone punched out someone.	no, please tell me.
because you're thinking too much.	then why aren't i having fun?
but he didn't have a chance. nobody voted for him!	he's the only candidate that i trust.
let's go to the lake.	or we can go to the ocean.
It's not if your practice well.	Is it difficult to prepare for IELTS?
it hurt her feelings.	so, a little salt and pepper never hurt anything.
where are they? maybe they are worth millions.	i can't believe it. i drew paintings like that in third grade.
My window that faces the empty lot is broken.	How may I help you?
well, a d is better than an f.	i got a d in college chemistry.
It is,but they have to be kept here.	That is so inconvenient.
 Jordan said he noticed that lots of other people are talking to me.  I wonder why he's paying attention to that.	 did tell gossips to anybody
 Does take up a lot of your time?	 I PLAY VOLLEYBALL
what's wrong with the bed?	maybe the room is nice, but not the bed.
obama's got four years to make everyone happy.	that's 50 million people who don't love obama.
that's what you think.	i don't smell bad.
Great!I was hoping that it would go to a driver who appreciates it.	I really love this car!
Yes,you are absolutely correct.	That sounds helpful.
that's a good idea.	you should bring some wipes with you.
did you give him a nose?	it took us all day.
i feel like chinese.	let me think a minute.
 I have read thousands of volumes, how about you?	 have you read many books
do you want me to wake you in an hour?	that's a good idea.
i have no idea.	where did you lose it?
what did you say to her?	she was standing behind me in a really slow line at the checkout counter.
no. it costs too much money.	can't we hire more police?
 What are you feeling right now?	 I have emotions
what are you talking about?	ready for the big switch.
all right, see you.	talk to you then.
female singers are supposed to be pretty.	what difference does it make?
i'm attending pcc right now.	which school do you attend?
yes, that sounds nice.	oh, yes, here it is. do you want a sandwich?
the driver will just honk back at us.	maybe we should honk the horn next time.
well, listen to me. you need to buy a ticket now.	you're right.
thank goodness! i don't want to see any wild animals.	i can't believe we haven't seen any animals.
okay, so are you going to school tomorrow?	i don't want to see a movie by myself.
what's the matter?	are you crazy?
 I hear things once in a while.	 do you know gossip
i mean i have wonderful students.	what do you mean?
why don't you look outside?	i don't know. i just woke up.
 Anger is not an emotion I can experience.	 Do you ever get angry
that's not a good start.	first of all, he was half an hour late.
did you find a spot?	i drove around for half an hour.
If they don't like it, they can move.	Your neighbors will hate you.
this california weather is so uncertain, it's impossible to know what'll happen.	i want this trip to be perfect, i hope it stays warm.
I'm playing pool with my friends at a pool hall.	What are you doing now?
your nose is stopped up?	no, i just blow my nose a lot.
someone should set him on fire.	i sure hope so.
 I try not to hold grudges.	 Do you hate anyone
are your nails clean?	what's to check?
All I make is oatmeal, toast, and some orange juice.	What do you make?
where did you lose it?	first, i have to find the button.
a good story is more important than color.	even though they're in black and white.
